post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,37,17,zaikunzhang,2026-04-05 17:28:39,0.4474,False
47640728,Show HN: A game where you build a GPU,technology,790,161,Jaso1024,2026-04-05 17:28:39,0.2035,True
47645432,Introduction to Computer Music (2009) [pdf],technology,171,53,luu,2026-04-05 17:28:39,0.3081,False
47607408,Scientists Figured Out How Eels Reproduce (2022),science,44,1,thunderbong,2026-04-05 17:28:39,0.0222,False
47590230,Costco sued for seeking refunds on tariffs customers paid,technology,16,4,AdmiralAsshat,2026-04-05 17:28:39,0.2353,False
47640875,"LLM Wiki – example of an ""idea file""",technology,220,67,tamnd,2026-04-05 17:28:39,0.3032,True
47587089,"Zml-smi: universal monitoring tool for GPUs, TPUs and NPUs",technology,54,8,steeve,2026-04-05 17:28:39,0.1455,False
47598835,Rubysyn: Clarifying Ruby's Syntax and Semantics,worldnews,55,5,petalmind,2026-04-05 17:28:39,0.0893,False
47646504,Show HN: OsintRadar – Curated directory for osint tools,entertainment,17,1,lexalizer,2026-04-05 17:28:39,0.0556,False
47613118,Show HN: I built a small app for FSI German Course,entertainment,39,13,syedmsawaid,2026-04-05 17:28:39,0.325,False
47639303,"Show HN: I made open source, zero power PCB hackathon badges",technology,118,11,kaipereira,2026-04-05 17:28:39,0.0924,False
47639779,"Show HN: sllm – Split a GPU node with other developers, unlimited tokens",technology,164,79,jrandolf,2026-04-05 17:28:39,0.4788,False
47645025,"Show HN: Contrapunk – Real-time counterpoint harmony from guitar input, in Rust",entertainment,78,34,waveywaves,2026-04-05 17:28:39,0.4304,False
47642601,Show HN: M. C. Escher spiral in WebGL inspired by 3Blue1Brown,entertainment,97,16,laszlokorte,2026-04-05 17:28:39,0.1633,False
47646363,Modern Generic SVGA driver for Windows 3.1,sports,51,14,userbinator,2026-04-05 17:28:39,0.2692,False
47640380,Apple approves driver that lets Nvidia eGPUs work with Arm Macs,technology,443,199,naves,2026-04-05 17:28:39,0.4482,True
47637757,Embarrassingly simple self-distillation improves code generation,technology,608,183,Anon84,2026-04-05 17:28:39,0.3005,True
47639567,Show HN: TurboQuant-WASM – Google's vector quantization in the browser,entertainment,154,6,teamchong,2026-04-05 17:28:39,0.0387,False
47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,technology,1050,798,firloop,2026-04-05 17:28:39,0.7593,True
47606244,Training mRNA Language Models Across 25 Species for $165,technology,139,32,maziyar,2026-04-05 17:28:39,0.2286,False
47611993,VR Realizes the Cyberspace Metaphor,science,14,11,dryadin,2026-04-05 17:28:39,0.7333,False
47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,13,1,andsoitis,2026-04-05 17:28:39,0.0714,False
47636435,Emotion concepts and their function in a large language model,technology,177,171,dnw,2026-04-05 17:28:39,0.9607,False
47633855,Claude Code Found a Linux Vulnerability Hidden for 23 Years,technology,397,249,eichin,2026-04-05 17:28:39,0.6256,True
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,203,133,pseudolus,2026-04-05 17:28:39,0.652,True
47639524,"Author of ""Careless People"" banned from saying anything negative about Meta",worldnews,803,518,macleginn,2026-04-05 17:28:39,0.6443,True
47645235,Brain scans reveal how to enters a psychedelic-like trance without drugs,technology,56,15,ingenika,2026-04-05 17:28:39,0.2632,False
47616361,Google releases Gemma 4 open models,technology,1779,463,jeffmcjunkin,2026-04-05 17:28:39,0.2601,True
47645817,How Pope Leo is pushing back on divine justification of war,worldnews,36,23,1659447091,2026-04-05 17:28:39,0.6216,False
47641464,Scientists observe an immune signaling complex forming inside cells,science,110,7,ohjeez,2026-04-05 17:28:39,0.0631,False
47641615,Sopwith – 1984 Game (2000),sports,93,41,elvis70,2026-04-05 17:28:39,0.4362,False
47628608,OpenClaw privilege escalation vulnerability,worldnews,504,249,kykeonaut,2026-04-05 17:28:39,0.4931,True
47610590,The East India Company in Japan,worldnews,10,2,Thevet,2026-04-05 17:28:39,0.1818,False
